,name,rating,price,Total Reviews
63,HP 15s-du3528TU 11th Gen Intel Core i3 1115G4 15.6 Inch FHD Display Silver Laptop #46D72PA-2Y,5,"53,500",1.0
64,Acer Extensa 15 EX215-52-58SQ Intel Core i5 1035G1 15.6 Inch FHD Display Black Laptop,5,"54,000",1.0
65,Dell Latitude 14-3420 Intel Core i3 1005G 14 Inch HD Display Black Laptop,0,"54,000",
66,Acer Aspire 3 A315-56 Intel Core i5 1035G1 5.6 Inch FHD Display Shale Black Laptop,5,"54,500",1.0
67,HP 14s-dq2575TU 11th Gen Intel Core i3 1115G4 14 Inch FHD Display Silver Laptop #4D9N8PA-2Y,5,"55,000",1.0
68,HP 14s-dq2095tu Intel Core i3 1115G4 14 Inch FHD Display Silver Laptop,5,"56,000",1.0
69,Asus ExpertBook L1 L1500CDA AMD Ryzen 5 3500U 15.6 Inch FHD LED Display Star Black Laptop #EJ0532T,0,"56,000",
70,Dell Inspiron 15-3505 AMD Ryzen 5 3500U 15.6 Inch FHD Display Black Laptop #BULLN315AMD2105229-2Y,0,"56,500",
71,Dell Inspiron 15-3505 AMD Ryzen 5 3500U 15.6 Inch FHD Display Soft Mint Laptop #BULLN315AMD2105229-2Y,0,"56,500",
72,Dell Inspiron 15-3505 AMD Ryzen 5 3500U 15.6 Inch FHD Display Blue Laptop #BULLN315AMD2105229-2Y,0,"56,500",
73,Acer Extensa 15 EX215-52-56FJ 10th Gen Intel Core i5 1035G1 15.6 Inch FHD Display Black Laptop,5,"57,000",1.0
74,Dell Inspiron 15-3505 AMD Ryzen 5 3500U 15.6 Inch FHD Display Silver Laptop #BULLN315AMD2105229-2Y,0,"58,000",
75,Dell Inspiron 15 3501 11th Gen Intel Core i5 1135G7 15.6 Inch FHD Display Silver Laptop #BULLN315TGL2105255-2Y,0,"58,000",
76,Dell Inspiron 15 3501 Intel Core i5 1135G7 15.6 Inch FHD Display Blue Laptop #BULLN315TGL2105255-2Y,0,"58,000",
77,Lenovo IdeaPad Slim 3i 15IIL Intel Core i5 1035G1 15.6 Inch FHD Display Platinum Grey Laptop #81WE013GIN-2Y,0,"58,500",
78,Lenovo IdeaPad Slim 3i 15IIL Intel Core i5 1035G1 15.6 Inch FHD Antiglare Display Business Black Laptop,0,"58,500",
79,Lenovo IdeaPad Slim 3i 14IIL Intel Core i5 1035G1 14 Inch FHD Antiglare Display Platinum Grey Laptop,5,"58,500",2.0
80,Lenovo IdeaPad Slim 3i 14IIL 10th Gen Intel Core i5 1035G1 14 Inch FHD Antiglare Display Abyss Blue Laptop #81WD00QNIN-2Y,0,"58,500",
81,Dell Inspiron 15 3501 11th Gen Intel Core i5 1135G7 15.6 Inch FHD Display Black Laptop #BULLN315TGL2105255-2Y,0,"58,500",
82,Avita LIBER V Intel Core i5 10210U 14 Inch FHD Display Champagne Gold Laptop,5,"58,990",1.0
83,Avita LIBER V Intel Core i5 10210U 14 Inch FHD Display Matt Black Laptop,4,"58,990",2.0
84,Avita LIBER V Intel Core i5 10210U 14 Inch FHD Display Golden Matt Black Laptop,5,"58,990",1.0
85,Nexstgo SU03 Intel Core i5 8250U 14 Inch FHD IPS Display Matt Black Laptop,5,"59,000",1.0
86,Acer Aspire 3 A315-58-55T5 Intel Core i5 1135G7 15.6 Inch FHD Pure Silver Laptop #NX.ADDSI.004,0,"59,000",
87,Acer TravelMate P214-53 11th Gen Intel Core i5 1135G7 14 Inch FHD Display Black Laptop #NX.VPLSI.00K,0,"60,500",
88,MSI Modern 14 B11MO 11th Gen Intel Core i3 1115G4 14 Inch FHD IPS Display Carbon Gray Laptop,5,"61,000",1.0
89,Asus 15 M515DA AMD Ryzen 5 3500U 15.6 Inch FHD LED Display Peacock Blue Laptop #BQ846T-M515DA,0,"61,000",
90,Dell Inspiron 15 3501 Intel Core i5 1135G7 15.6 Inch FHD Display Silver Soft Mint Laptop #BULLN315TGL2105115B-2Y,0,"62,800",
91,Dell Inspiron 15 3501 11th Gen Intel Core i5 1135G7 15.6 Inch FHD Display Win 10 Black Laptop #BULLN315TGL2105115B-2Y,0,"63,000",
92,Lenovo IdeaPad Slim 3i 15IIL 10th Gen Intel Core i5 1035G1 15.6 Inch FHD Antiglare Display Abyss Blue Laptop #81WE00UHIN-2Y,4,"63,500",1.0
93,Lenovo IdeaPad Slim 3i 15IIL 10th Gen Intel Core i5 1035G1 15.6 Inch FHD Display Platinum Grey Laptop,4,"64,500",3.0
94,HP 15s-du3527TU Intel Core i5 1135G7 15.6 Inch FHD Display Silver Laptop #46D71PA-2Y,5,"64,500",1.0
95,Lenovo IdeaPad 520s Intel Core i5 8250U 14 Inch FHD IPS Display Champagne Gold Laptop,0,"65,000",
96,Dell Inspiron 14-5480 Intel Core i5 8265U 14 Inch FHD Display Platinum Silver Laptop,0,"65,000",
97,Dell Inspiron 15-3505 AMD Ryzen 7 3700U 15.6 Inch FHD Display Blue Laptop #BULLN315AMD2105106-2Y,0,"65,500",
98,Lenovo IdeaPad Slim 3i 15ITL Intel Core i5 1135G7 15.6 Inch FHD Antiglare Display Platinum Grey Laptop,0,"65,500",
99,Microsoft Surface Go 2 Intel Core M3 10.5 Inch Platinum Surface Go Laptop #SUA-00001,0,"65,500",
100,Lenovo IdeaPad 520s Intel Core i5 8250U 14 Inch FHD IPS Display Back-light Keyboard Champagne Gold Laptop,0,"66,000",
101,HP 15s-du3024TU Intel Core i5 1135G7 15.6 Inch FHD Display Silver Laptop,0,"66,000",
102,Asus 14 X415EA Intel Core i5 1135G7 14 Inch FHD Display Slate Grey Laptop #EB542T/EB162T-X415EA,5,"66,000",1.0
103,Acer Aspire 3 A315-58G-501N Intel Core i5 1135G7 15.6 Inch FHD Pure Silver Laptop #NX.ADUSI.002,0,"66,000",
